Yosys,module_definition
Slang,ariane
tree_sitter_systemverilog,while_loop
tree_sitter_systemverilog,jump_break
tree_sitter_systemverilog,jump_return
tree_sitter_systemverilog,if_pattern
tree_sitter_systemverilog,dowhile_loop
tree_sitter_systemverilog,if
tree_sitter_systemverilog,jump_return_expr
tree_sitter_systemverilog,foreach_loop
tree_sitter_systemverilog,if_else
tree_sitter_systemverilog,casex
tree_sitter_systemverilog,unique_if
tree_sitter_systemverilog,case
Verilator,ariane
